,Unnamed: 0,Player Nametag,Task 1 Payoff,Task 2 Payoff,Selected As Team,Total Payoff
309,,Jane,0.0,0.0,0.0,0.0
310,,Jane,0.0,0.0,0.0,0.0
311,,Jane,0.0,0.0,0.0,0.0
312,,Jane,0.0,0.0,0.0,0.0
313,,Jane,0.0,0.0,0.0,0.0
314,,,,,,
315,,Jane,0.0,0.0,0.0,0.0
316,,Jane,0.0,0.0,0.0,0.0
317,,Jane,0.0,0.0,0.0,0.0
318,,Jane,0.0,0.0,0.0,0.0
319,,Jane,0.0,0.0,0.0,0.0
320,,Jane,0.0,0.0,0.0,0.0
321,,Jane,0.0,0.0,0.0,0.0
322,,,,,,
323,,Jane,0.0,0.0,0.0,0.0
324,,Jane,0.0,0.0,0.0,0.0
325,,Jane,0.0,0.0,0.0,0.0
326,,Jane,0.0,0.0,0.0,0.0
327,,Jane,0.0,0.0,0.0,0.0
328,,Jane,0.0,0.0,0.0,0.0
329,,Jane,0.0,0.0,0.0,0.0
330,,,,,,
331,,,,,,
332,,,,,,
333,,,,,,
334,,,,,,
335,,,,,,
336,,,,,,
337,,,,,,
338,,,,,,
339,,,,,,
340,,,,,,
341,,,,,,
342,,,,,,
343,,,,,,
344,,,,,,
345,,,,,,
346,,,,,,
347,,,,,,
348,,,,,,
349,,,,,,
350,,,,,,
351,,,,,,
352,,,,,,
353,,,,,,
354,,,,,,
355,,,,,,
356,,,,,,
357,,,,,,
358,,,,,,
359,,,,,,
360,,,,,,
361,,,,,,
362,,,,,,
363,,,,,,
364,,,,,,
365,,Lucy,0.0,1.0,0.0,1.0
366,,Lucy,0.0,1.0,0.0,1.0
367,,Lucy,0.0,1.0,0.0,1.0
368,,Lucy,0.0,1.0,0.0,1.0
369,,Lucy,0.0,1.0,0.0,1.0
370,,Lucy,0.0,1.0,0.0,1.0
371,,Lucy,0.0,1.0,0.0,1.0
372,,,,,,
373,,Lucy,0.0,1.0,0.0,1.0
374,,Lucy,0.0,1.0,0.0,1.0
375,,Lucy,0.0,1.0,0.0,1.0
376,,Lucy,0.0,1.0,0.0,1.0
377,,Lucy,0.0,1.0,0.0,1.0
378,,Lucy,0.0,1.0,0.0,1.0
379,,Lucy,0.0,1.0,0.0,1.0
380,,,,,,
381,,Lucy,0.0,1.0,0.0,1.0
382,,Lucy,0.0,1.0,0.0,1.0
383,,Lucy,0.0,1.0,0.0,1.0
384,,Lucy,0.0,1.0,0.0,1.0
385,,Lucy,0.0,1.0,0.0,1.0
386,,Lucy,0.0,1.0,0.0,1.0
387,,Lucy,0.0,1.0,0.0,1.0
388,,,,,,
389,,Lucy,0.0,1.0,1.0,0.75
390,,Lucy,0.0,1.0,1.0,1.5
391,,Lucy,0.0,1.0,1.0,1.5
392,,Lucy,0.0,1.0,1.0,0.75
393,,Lucy,0.0,1.0,1.0,2.25
394,,Lucy,0.0,1.0,1.0,2.25
395,,Lucy,0.0,1.0,1.0,0.75
